loc	 mapfreq	 maptre	 map2freq	 map2tre	 mapBP	 mosBP	 medBP	 recfreq
4	 0.974000	 1	 0.008000	 39	 0	 0	 0	 0.008000
8	 0.982000	 1	 0.008000	 39	 0	 0	 0	 0.006000
12	 0.988000	 1	 0.004000	 22	 0	 0	 0	 0.004000
20	 0.992000	 1	 0.004000	 22	 0	 0	 0	 0.002000
24	 0.994000	 1	 0.004000	 22	 0	 0	 0	 0.002000
52	 0.996000	 1	 0.004000	 22	 0	 0	 0	 0.006000
56	 0.990000	 1	 0.006000	 2	 0	 0	 0	 0.022000
60	 0.970000	 1	 0.028000	 2	 0	 0	 0	 0.096000
64	 0.874000	 1	 0.122000	 2	 0	 0	 0	 0.112000
68	 0.762000	 1	 0.234000	 2	 0	 1	 0	 0.148000
72	 0.614000	 1	 0.374000	 2	 0	 0	 0	 0.114000
76	 0.504000	 1	 0.478000	 2	 1	 1	 1	 0.118000
80	 0.594000	 2	 0.388000	 1	 0	 0	 0	 0.086000
84	 0.680000	 2	 0.306000	 1	 0	 0	 0	 0.108000
88	 0.784000	 2	 0.202000	 1	 0	 0	 0	 0.102000
92	 0.886000	 2	 0.100000	 1	 0	 0	 0	 0.044000
96	 0.926000	 2	 0.056000	 1	 0	 0	 0	 0.054000
104	 0.976000	 2	 0.012000	 8	 0	 0	 0	 0.002000
120	 0.978000	 2	 0.012000	 8	 0	 0	 0	 0.002000
124	 0.980000	 2	 0.012000	 8	 0	 0	 0	 0.004000
128	 0.976000	 2	 0.012000	 8	 1	 2	 2	 0.610000
132	 0.608000	 3	 0.386000	 2	 0	 0	 0	 0.388000
152	 0.994000	 3	 0.004000	 38	 0	 0	 0	 0.002000
168	 0.992000	 3	 0.006000	 38	 0	 0	 0	 0.002000
172	 0.990000	 3	 0.006000	 38	 0	 0	 0	 0.006000
176	 0.984000	 3	 0.006000	 38	 0	 0	 0	 0.006000
180	 0.978000	 3	 0.008000	 38	 0	 0	 0	 0.008000
184	 0.970000	 3	 0.008000	 9	 0	 0	 0	 0.010000
188	 0.960000	 3	 0.014000	 9	 0	 0	 0	 0.008000
192	 0.952000	 3	 0.016000	 9	 0	 0	 0	 0.254000
196	 0.700000	 3	 0.094000	 4	 0	 0	 0	 0.140000
200	 0.564000	 3	 0.150000	 4	 0	 0	 0	 0.142000
204	 0.428000	 3	 0.214000	 4	 1	 3	 3	 0.200000
208	 0.294000	 4	 0.254000	 3	 0	 0	 0	 0.214000
212	 0.374000	 4	 0.202000	 6	 0	 0	 0	 0.052000
216	 0.388000	 4	 0.206000	 6	 0	 0	 0	 0.072000
220	 0.436000	 4	 0.206000	 6	 0	 0	 0	 0.004000
224	 0.440000	 4	 0.206000	 6	 0	 0	 0	 0.010000
228	 0.444000	 4	 0.202000	 6	 0	 0	 0	 0.004000
232	 0.444000	 4	 0.200000	 6	 0	 0	 0	 0.004000
236	 0.442000	 4	 0.200000	 6	 0	 0	 0	 0.002000
240	 0.442000	 4	 0.200000	 6	 0	 0	 0	 0.002000
244	 0.442000	 4	 0.200000	 6	 0	 0	 0	 0.014000
248	 0.442000	 4	 0.190000	 6	 0	 0	 0	 0.004000
252	 0.440000	 4	 0.188000	 6	 0	 0	 0	 0.012000
256	 0.434000	 4	 0.188000	 6	 0	 4	 4	 0.000000
